"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g28359.t1",2531.35149131394,-5.41133900044409,1.4342484131961,-3.77294403860303,0.000161332484599136,0.0144180939848597,68,72,14537,6008,1656,2207,2726,59,17,2725,48
"Pocillopora_acuta_HIv2___TS.g27138.t1",171.50082405438,1.42483390866748,0.272725762734142,5.22441992418749,1.7470190859918e-07,9.12487479936696e-05,341,126,124,157,147,113,175,79,285,133,157
"Pocillopora_acuta_HIv2___TS.g11521.t2a",613.492939801813,-0.63166429661633,0.180972910767676,-3.49038037757611,0.000482333491963705,0.028846733829809,532,801,761,833,639,686,618,820,503,683,196
"Pocillopora_acuta_HIv2___RNAseq.g16157.t1",12383.8764284625,-3.24706295769232,0.981483441298784,-3.30832169047653,0.00093856931209945,0.0420994906709647,2238,1372,25354,37431,1707,48683,9841,2931,1937,9021,1631
"Pocillopora_acuta_HIv2___TS.g14230.t1",43.3578296463714,2.07971013202857,0.49387708139342,4.21098732939965,2.54257008447901e-05,0.0043304758888112,68,18,27,19,30,38,33,14,77,24,72
"Pocillopora_acuta_HIv2___TS.g25063.t1a",353.704383611992,-0.778708686192681,0.228979695472829,-3.40077614560843,0.000671948290124828,0.0347873846059338,212,352,475,502,449,407,361,433,246,443,150
"Pocillopora_acuta_HIv2___RNAseq.g18356.t1",597.359777375409,1.6726342656903,0.324150232710436,5.16005881502628,2.46872273707739e-07,0.00012088512335889,1002,687,292,368,788,239,557,393,1304,411,492
"Pocillopora_acuta_HIv2___RNAseq.g7639.t1",14.588830528213,4.69345420086011,1.38778380617028,3.38197792768034,0.000719659267854597,0.0357791486617366,9,2,13,0,6,1,7,0,8,6,52
"Pocillopora_acuta_HIv2___TS.g16836.t1",433.406231864215,1.99843515353555,0.547296937129483,3.65146416498718,0.000260749486664906,0.0187370938408,405,244,135,219,458,315,272,133,796,332,803
"Pocillopora_acuta_HIv2___RNAseq.g25214.t1",246.869594514461,-1.56852311779917,0.484124102230302,-3.2399194970322,0.00119563450359206,0.0474699212372091,119,576,221,235,176,569,226,236,144,355,42
"Pocillopora_acuta_HIv2___RNAseq.g26954.t1",29642.5369211964,-3.03670425766325,0.898351242232318,-3.38030840823164,0.000724045350121555,0.0357791486617366,6075,6095,126896,101212,14843,31002,15589,17625,5206,20540,2009
"Pocillopora_acuta_HIv2___RNAseq.g26363.t1",22.7126657112738,-6.63802402888516,1.90041168573963,-3.49294001857376,0.000477733803731881,0.028644528884985,0,8,70,64,96,8,7,0,0,23,0
"Pocillopora_acuta_HIv2___RNAseq.g13098.t1",3109.83496614019,-4.29829112781908,1.05895771799794,-4.05898276651254,4.92869504741931e-05,0.00710699683402108,236,1138,9174,12915,287,8232,1687,423,455,1563,97
"Pocillopora_acuta_HIv2___TS.g10175.t2b",356.727284169727,1.32312752070669,0.399234762197242,3.31415910133847,0.000919191882871194,0.0413882873850662,445,274,282,159,680,161,464,273,495,301,332
"Pocillopora_acuta_HIv2___TS.g26913.t2a",1539.24801219515,-0.847868900437472,0.23205304022988,-3.65377199797746,0.000258415760446796,0.0187370938408,1140,2038,2441,2038,1779,1831,1649,1898,1230,1619,333
"Pocillopora_acuta_HIv2___RNAseq.g13919.t1",1326.61716195365,-4.59331852011951,1.18515190034186,-3.87572134744462,0.000106309289001118,0.0109840244084612,108,58,5331,5167,367,2206,902,75,50,1211,50
"Pocillopora_acuta_HIv2___RNAseq.g29677.t1",152.677641435928,-2.47535087501465,0.76652261136092,-3.22932531712247,0.0012408265860965,0.0479168368072401,35,480,148,70,47,390,77,282,56,199,17
"Pocillopora_acuta_HIv2___RNAseq.13561_t",729.141957728711,-0.583604927161172,0.175446077015154,-3.3264062502279,0.000879736076624543,0.0401501296019093,618,876,960,905,919,952,704,833,631,795,228
"Pocillopora_acuta_HIv2___RNAseq.g29833.t1",875.456932768943,-3.20945598233164,0.945340207364005,-3.39502748040403,0.000686217124883746,0.0349866535862637,195,146,2971,3006,358,1538,418,176,145,1189,64
"Pocillopora_acuta_HIv2___RNAseq.g29831.t1",3778.44450268002,-3.37329257651419,0.990375590429728,-3.40607402798619,0.000659043064301809,0.0343509583292477,631,573,13317,13174,1299,7171,1520,575,613,4821,286
"Pocillopora_acuta_HIv2___RNAseq.g11960.t1",19.6210973502475,-6.8609891790542,2.06000237788885,-3.33057342685474,0.000866673026352945,0.0399405774228634,0,23,57,0,0,26,44,57,0,28,0
"Pocillopora_acuta_HIv2___RNAseq.g30114.t1",225.872110337565,-1.14206710499572,0.250998296128959,-4.5500990349709,5.36206726467674e-06,0.00151843408420436,140,292,347,298,263,355,243,236,116,265,63
"Pocillopora_acuta_HIv2___RNAseq.g10521.t1",1975.94257386094,1.20524692801552,0.295670221427888,4.07632166064946,4.57537165419624e-05,0.00671759763094581,3186,1955,2049,1181,3569,1435,1588,1131,2508,1536,1550
"Pocillopora_acuta_HIv2___RNAseq.g27475.t1",33.9716028235217,1.53761947410537,0.366710613777014,4.19300510085687,2.75283250921683e-05,0.00455651938708679,75,34,21,23,23,22,25,20,86,30,20
"Pocillopora_acuta_HIv2___RNAseq.g10523.t1",935.320885414703,1.2026577437895,0.319700283810105,3.76182882747722,0.000168675474589501,0.0148373027759141,827,850,741,770,834,749,692,779,2515,605,795
"Pocillopora_acuta_HIv2___RNAseq.g24390.t1",371.39648551839,1.06472436813157,0.307821084134383,3.45890656296548,0.00054237302328973,0.030717916962414,383,386,395,337,276,281,470,211,603,290,353
"Pocillopora_acuta_HIv2___RNAseq.g7107.t1",625.001370432129,1.00465413641479,0.24894372555312,4.03566763605944,5.44472475380301e-05,0.0075944086690336,736,622,845,508,596,484,666,376,1312,508,367
"Pocillopora_acuta_HIv2___RNAseq.g5407.t1",36.3177600346412,1.65411093439246,0.500314807607533,3.30614027256617,0.000945907211358262,0.042347815420504,81,18,35,34,22,33,12,13,66,20,41
"Pocillopora_acuta_HIv2___RNAseq.g1911.t1",767.053800782324,0.467355924543637,0.116853103574253,3.99951657464245,6.34720026958888e-05,0.00833433492382218,902,852,898,642,922,721,918,609,1014,755,420
"Pocillopora_acuta_HIv2___RNAseq.g8035.t1",37.9004682539164,1.84282564531191,0.426532222993092,4.32048400090456,1.55687344454223e-05,0.00304939612004337,46,32,17,23,30,20,23,29,120,21,40
"Pocillopora_acuta_HIv2___RNAseq.g5712.t1",359.648958527048,-0.991050995468137,0.271353793275266,-3.65224669795862,0.000259955968642346,0.0187370938408,249,362,621,564,387,388,402,403,218,469,101
"Pocillopora_acuta_HIv2___RNAseq.g9907.t1",79.5991382434075,1.836361952482,0.530840092973895,3.45935052153701,0.000541479734312543,0.030717916962414,69,60,99,54,49,20,105,37,159,60,105
"Pocillopora_acuta_HIv2___RNAseq.g30783.t1",44.2281089208112,-7.84366310694359,2.01841572080833,-3.88604935350106,0.000101888800951072,0.010787362061054,0,3,250,140,12,27,41,0,0,52,0
"Pocillopora_acuta_HIv2___TS.g16179.t1",224.731441415869,1.14150299903191,0.29999021230214,3.80513414178404,0.000141727360844277,0.0132715533437605,282,171,193,159,289,172,186,125,394,231,211
"Pocillopora_acuta_HIv2___RNAseq.g29891.t1",166.509451314917,-6.9023702669203,1.06100611423973,-6.50549527875836,7.7437816215268e-11,1.21339895488244e-07,4,113,335,553,45,526,240,71,3,70,0
"Pocillopora_acuta_HIv2___RNAseq.g13917.t1",1009.10252254112,-4.76330164094183,1.46044330373515,-3.26154505879103,0.00110806820529848,0.0464730410077224,37,22,4466,4042,184,1494,413,74,38,959,48
"Pocillopora_acuta_HIv2___RNAseq.g7543.t1",17.2999955379838,-6.03883738668286,1.62800112941275,-3.70935700079102,0.000207786273595175,0.0167158449334683,0,13,43,16,33,20,60,0,0,27,0
"Pocillopora_acuta_HIv2___RNAseq.g2787.t1",87.9461047300807,-9.13976404475826,1.77708226526807,-5.14312940002221,2.70199376216387e-07,0.000129607472216122,0,3,405,331,18,120,75,24,0,60,0
"Pocillopora_acuta_HIv2___RNAseq.g22559.t1",5771.59889391479,2.27092115093599,0.531392115828086,4.2735318859542,1.92400755403306e-05,0.00361774988399944,8266,4300,1398,1894,5384,3450,3370,2722,7201,3514,11700
"Pocillopora_acuta_HIv2___TS.g12676.t1",519.0989286879,-5.58960490840049,1.49420948658188,-3.74084421133421,0.000183403181284406,0.0157325123098857,13,14,3063,1658,112,412,323,21,19,498,4
"Pocillopora_acuta_HIv2___RNAseq.g6938.t1",10112.393181753,1.36712633201595,0.343946747819387,3.97481976696534,7.0432573402598e-05,0.00875731033953127,15025,13008,8514,5295,12773,9990,7095,5875,13726,5599,10410
"Pocillopora_acuta_HIv2___TS.g5122.t1b",148.107370454261,-1.94469627265733,0.408674684554806,-4.75854352166639,1.94994852395465e-06,0.000739219195274681,45,243,196,213,392,82,198,198,41,151,18
"Pocillopora_acuta_HIv2___RNAseq.g3137.t1",230.669716389879,1.341616555825,0.291027755928565,4.60992647091128,4.02811412932562e-06,0.00126235725994226,388,266,136,125,240,146,177,157,422,233,203
"Pocillopora_acuta_HIv2___RNAseq.g17090.t1",101764.917128705,-1.17612577064103,0.352677408564772,-3.33484862392319,0.000853458450744533,0.0396436510401176,69920,101062,88464,126221,133428,90245,91632,256469,80673,123335,22384
"Pocillopora_acuta_HIv2___TS.g1941.t1",49.182333120453,-3.12197706893817,0.952508315914907,-3.27763759830215,0.00104679696702838,0.0448158759800276,9,94,157,118,15,82,35,26,13,37,0
"Pocillopora_acuta_HIv2___RNAseq.g25911.t1",201.843526731202,1.69248818430365,0.463507715984262,3.65147790627312,0.000260735532912835,0.0187370938408,270,393,95,81,169,141,150,138,427,104,198
"Pocillopora_acuta_HIv2___TS.g28528.t1b",41.9037063867096,2.58161638909989,0.665421369036699,3.87967160242717,0.000104597586985611,0.0109151894287085,65,15,16,9,34,8,29,36,65,19,87
"Pocillopora_acuta_HIv2___RNAseq.g9147.t1",1465.53202989234,-1.34321293355982,0.290006962750092,-4.63165753271003,3.62749831017947e-06,0.0011521718957089,956,1300,1439,1833,2399,1955,1664,2360,1018,2106,221
"Pocillopora_acuta_HIv2___TS.g1897.t1",153.871151742588,1.61937646887792,0.400628958491717,4.04208541233397,5.29779269645188e-05,0.00750116382755451,233,217,92,64,289,62,223,61,259,126,104
"Pocillopora_acuta_HIv2___TS.g15720.t1",121.74687286047,-3.6786316753254,0.95019949217558,-3.87143090016055,0.000108198330701913,0.0110090630511592,12,32,361,444,43,298,85,60,17,52,10
"Pocillopora_acuta_HIv2___RNAseq.g4886.t1",405.396935713962,-2.81726552641395,0.688115974900323,-4.09417253657284,4.23678736812487e-05,0.00642460969680044,69,196,674,1252,228,1283,280,210,151,296,50
"Pocillopora_acuta_HIv2___RNAseq.g24120.t1",2178.5206906155,-1.54395574533948,0.415813001213631,-3.71310117969652,0.000204734987875161,0.0165934177759234,1362,2460,1148,3283,2931,1692,2243,5087,1470,3593,323
"Pocillopora_acuta_HIv2___TS.g27996.t1a",51.1664019195013,2.10285145805872,0.593170912040347,3.54510212044196,0.000392461003605837,0.0251346142472796,87,46,32,9,80,10,38,34,102,45,57
"Pocillopora_acuta_HIv2___RNAseq.6209_t",112.279592410941,0.99630160454982,0.27212762322236,3.66115572080577,0.000251080088170472,0.0184562208989284,159,129,125,96,148,89,91,73,142,77,93
"Pocillopora_acuta_HIv2___TS.g798.t2",2114.43292248367,1.80647127625124,0.408194324835617,4.42551786328415,9.62111943793862e-06,0.00215366467875533,4613,1094,850,791,601,2493,836,1514,4136,1048,2993
"Pocillopora_acuta_HIv2___RNAseq.g10976.t1",4714.29105213071,-2.90868753771802,0.840402554919428,-3.46106460611235,0.000538043671653225,0.0306202868245458,805,6667,522,617,7764,9603,10590,8109,1008,10220,472
"Pocillopora_acuta_HIv2___TS.g25238.t1",1559.42398297247,3.1720539652974,0.602664797121365,5.26338020811694,1.41430672194122e-07,7.58171450432922e-05,2036,348,475,1277,437,220,319,311,6147,315,2868
"Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,-1.84953598834393,0.209570375689605,-8.8253694361997,1.09099058446643e-18,8.54754756576636e-15,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271
"Pocillopora_acuta_HIv2___RNAseq.g8318.t1b",246.694466341214,0.796011289401671,0.23048950340928,3.45356850367366,0.000553221776228656,0.0310453430996878,358,248,247,201,255,240,184,241,331,177,198
"Pocillopora_acuta_HIv2___RNAseq.g28814.t1",718.874535465038,-3.87433814109457,1.13744694065465,-3.40617043540047,0.000658810372994907,0.0343509583292477,68,47,3215,2576,279,835,477,53,47,779,46
"Pocillopora_acuta_HIv2___TS.g4789.t1",5.35397276920662,6.04285453416436,1.7741602820144,3.40603641927055,0.000659133858342865,0.0343509583292477,14,6,6,0,6,0,9,0,0,0,10
"Pocillopora_acuta_HIv2___RNAseq.g29704.t1",365.802500787974,-5.1066055818701,1.5831707512097,-3.22555578920855,0.00125728329139493,0.0481289682100105,10,4,1804,1227,67,626,213,17,4,297,15
"Pocillopora_acuta_HIv2___RNAseq.g1461.t1",3891.58921584657,1.22471966703517,0.300544894085884,4.07499741680918,4.60148578362098e-05,0.00671759763094581,4687,2476,3417,3438,3168,2999,2662,2489,6383,3466,4798
"Pocillopora_acuta_HIv2___RNAseq.g11050.t1",217.728638281143,-1.42199503656445,0.396818270424966,-3.58349184638495,0.000339031351902842,0.0227328390064024,162,208,213,433,296,318,281,171,130,330,26
"Pocillopora_acuta_HIv2___RNAseq.g14107.t2",135.86505020682,1.95718077096496,0.523514964849673,3.738538346324,0.000185093263632245,0.0158197529760447,144,86,86,62,72,55,85,93,170,113,279
"Pocillopora_acuta_HIv2___RNAseq.g993.t1",2537.79671224358,-3.23009544696917,0.847124498179095,-3.81301149230402,0.000137283726400174,0.0131058969745198,524,449,7120,5675,826,7990,2727,1035,603,2607,128
"Pocillopora_acuta_HIv2___RNAseq.g7120.t1",229.188924376458,1.27008249578327,0.379385445143304,3.34773648288887,0.000814744423036762,0.0385993227635942,206,286,147,150,274,130,300,190,345,142,254
"Pocillopora_acuta_HIv2___RNAseq.g938.t1",482.979767588863,-0.924143556673919,0.264065752924469,-3.49967213256258,0.000465830735002096,0.0283047113676112,464,450,500,828,507,608,644,551,312,627,116
"Pocillopora_acuta_HIv2___RNAseq.g7684.t1",85.9160387195979,2.03008132442184,0.619847174007362,3.27513201568251,0.00105612607182357,0.0448882227705987,70,57,30,33,90,61,55,37,109,60,182
"Pocillopora_acuta_HIv2___RNAseq.g3522.t1",112.3760328446,-1.33548065516109,0.406229860278552,-3.28749997414112,0.00101081198370841,0.043631256731892,88,87,147,195,114,152,189,101,44,172,23
"Pocillopora_acuta_HIv2___RNAseq.g8697.t1",89.4930915895656,1.02498707832671,0.287152186442253,3.56949076733857,0.000357675822161264,0.0233522570113288,141,75,114,75,108,50,84,58,131,87,64
"Pocillopora_acuta_HIv2___RNAseq.g25829.t1",15.3223175003987,-6.41490247622628,1.98464641099177,-3.23226466976584,0.00122813247050435,0.0479168368072401,0,8,71,64,19,8,3,0,0,9,0
"Pocillopora_acuta_HIv2___RNAseq.g24894.t1",1469.1709443379,1.69091605296014,0.374863949858807,4.51074597489843,6.46000440740355e-06,0.00172010480887043,1586,1010,595,1195,1136,1105,940,937,3390,720,2110
"Pocillopora_acuta_HIv2___RNAseq.g20370.t1",482.342949335298,0.71278824876729,0.202757205201619,3.51547678938711,0.000438965128632846,0.0270604568941583,632,459,476,450,454,393,465,405,590,480,411
"Pocillopora_acuta_HIv2___RNAseq.g11197.t2",378.70916279338,1.09383800596351,0.327286465621866,3.34214249857582,0.00083134369609983,0.0391581207076762,444,293,390,396,343,303,376,226,522,254,419
"Pocillopora_acuta_HIv2___RNAseq.g20215.t1",263.295105535054,1.30948924481843,0.180844047295258,7.2409861668295,4.45433840849162e-13,1.49563957075981e-09,391,215,201,196,252,168,247,195,593,211,208
"Pocillopora_acuta_HIv2___RNAseq.g22399.t1",340.516985106222,1.59557930895912,0.488141499730278,3.26868194947726,0.00108049681820091,0.0456762539838023,407,186,319,274,143,334,105,203,647,172,534
"Pocillopora_acuta_HIv2___TS.g21127.t1c",2178.64497482785,1.22012623558042,0.313586993338199,3.89087003447407,9.98854256641219e-05,0.0106486987924101,2592,1700,1826,1624,1597,1590,2387,1309,3245,2127,2593
"Pocillopora_acuta_HIv2___RNAseq.g21805.t1",8.10123182564234,6.88464542111591,2.13505665909567,3.22457270245559,0.00126160818136915,0.0481449177223255,20,7,0,0,0,0,24,0,14,0,14
"Pocillopora_acuta_HIv2___RNAseq.g1893.t1c",1950.68483697799,0.941367309609047,0.286148365956187,3.28978747253508,0.00100263080601248,0.043631256731892,2704,1806,2812,1974,1445,1454,1603,1563,3130,1312,1492
"Pocillopora_acuta_HIv2___TS.g31673.t1",564.862524738745,0.936152424892972,0.234485501784475,3.99236804735768,6.5416735671963e-05,0.0084947787581979,869,436,362,365,482,515,566,601,1218,503,357
"Pocillopora_acuta_HIv2___TS.g25654.t1b",424.235990946782,-3.70547287685551,1.09468990963704,-3.38495207111583,0.000711906839327232,0.0357535434862121,45,53,1849,1426,248,721,163,32,61,357,19
"Pocillopora_acuta_HIv2___RNAseq.g11006.t1",1703.1874612525,-1.1446144759668,0.262445192444889,-4.36134670749269,1.29264345275282e-05,0.00268869838172588,923,2561,2347,2623,1843,2751,1890,1772,1135,1561,420
"Pocillopora_acuta_HIv2___RNAseq.g15832.t1",603.869495177684,-1.30076026090053,0.293654411004621,-4.4295614578051,9.44249023138509e-06,0.00213400279229303,377,868,582,1090,608,920,903,547,344,701,125
"Pocillopora_acuta_HIv2___RNAseq.g20784.t1",99.3141076404575,1.10391139465585,0.313864042187287,3.5171642694805,0.000436183750352723,0.0270502978055156,154,89,56,49,102,97,100,85,212,87,68
"Pocillopora_acuta_HIv2___RNAseq.g9866.t1",25.4511269709508,5.64184793059001,1.42523698516211,3.95853320488191,7.54114583061331e-05,0.00893455656926163,116,10,0,0,3,0,13,7,67,0,36
"Pocillopora_acuta_HIv2___RNAseq.g1606.t2",65.939098831001,1.50035658084121,0.355043870529057,4.22583434155758,2.38057078378555e-05,0.00423885876531027,81,53,46,45,71,55,50,38,122,39,81
"Pocillopora_acuta_HIv2___RNAseq.g21942.t1",74.9089903719243,-1.17589927340918,0.338947916129895,-3.46926243664687,0.000521889389165641,0.0299914136991424,46,81,65,79,117,122,115,76,38,112,21
"Pocillopora_acuta_HIv2___TS.g576.t1",10.5239962080834,-5.10485911378534,1.57256955783662,-3.24618970801397,0.00116960871427622,0.0474634856800094,0,13,34,13,20,0,29,8,0,12,0
"Pocillopora_acuta_HIv2___RNAseq.g7985.t1",1737.12483048271,-0.835428195114811,0.239542487320692,-3.48759923326824,0.000487378024852514,0.0289615834061411,1310,2205,2173,1909,2534,1737,2729,2356,1353,1895,310
"Pocillopora_acuta_HIv2___RNAseq.g8039.t1",685.550860676679,2.09705336671812,0.446269959637264,4.69906907563898,2.61350053989489e-06,0.000916831592383425,1658,469,166,225,746,289,632,474,1458,461,693
"Pocillopora_acuta_HIv2___RNAseq.g29414.t1",1147.95029770406,-3.68741242256025,0.981082831154505,-3.75851284465046,0.00017092626544581,0.0148373027759141,127,244,3472,4566,292,2499,1071,181,180,677,73
"Pocillopora_acuta_HIv2___RNAseq.g10989.t1",451.328420747693,-5.67799975295587,1.5266340115383,-3.7192933670032,0.000199780906830004,0.0163611513384405,12,16,2353,1559,57,658,266,10,13,357,6
"Pocillopora_acuta_HIv2___RNAseq.g21489.t1",1380.94443364772,4.65481535933964,0.67893719127802,6.85603236814512,7.079934209432e-12,1.51278885144082e-08,1369,328,58,167,205,355,116,139,4501,102,3893
"Pocillopora_acuta_HIv2___RNAseq.g14232.t1",1164.47135205067,-2.17855797253428,0.483823956183676,-4.50279062185839,6.70669500748021e-06,0.00173224351050346,225,1181,2987,2300,1846,1340,1114,1345,534,848,104
"Pocillopora_acuta_HIv2___RNAseq.g23449.t1",89.7317602274816,1.02880993595765,0.24621891241489,4.17843587183124,2.93520731186939e-05,0.00475786983849504,149,98,88,80,91,64,61,64,143,78,67
"Pocillopora_acuta_HIv2___TS.g24551.t1a",95.1800721998739,2.08438566257144,0.510479159577925,4.08319443303983,4.44208266568539e-05,0.00660801968191579,231,59,28,37,126,40,92,41,276,80,57
"Pocillopora_acuta_HIv2___TS.g24551.t1b",38.4208963713931,2.73367431569765,0.660189146528932,4.14074410352011,3.46180989221035e-05,0.00546083085278604,99,10,5,10,32,14,28,8,97,31,53
"Pocillopora_acuta_HIv2___RNAseq.g18198.t1",668.482863214247,-3.43537971644107,0.939640704644775,-3.65605672408561,0.000256124703469872,0.0187370938408,79,167,3281,2093,333,565,608,203,101,449,24
"Pocillopora_acuta_HIv2___RNAseq.g11551.t1",60.7598723286772,-1.84878234850116,0.542694406149584,-3.4066729407039,0.000657598750223511,0.0343509583292477,13,186,78,43,45,77,108,82,21,61,10
"Pocillopora_acuta_HIv2___RNAseq.g5130.t1",1994.87185206791,0.643373092277086,0.13616533619534,4.72494035746451,2.30182903840392e-06,0.000819730147252208,2573,2451,1802,1609,2271,1836,2179,1613,2682,1868,1308
"Pocillopora_acuta_HIv2___RNAseq.g7705.t1",207.685602410547,-1.00125849718027,0.26292321746632,-3.8081783222835,0.00013999430707662,0.0132145630262204,172,236,182,244,274,254,249,376,131,244,52
"Pocillopora_acuta_HIv2___RNAseq.g6229.t1a",587.848546155534,-0.845780163134713,0.244907820485126,-3.45346327226034,0.000553437659920405,0.0310453430996878,453,781,647,763,576,963,762,649,500,616,138
"Pocillopora_acuta_HIv2___TS.g27278.t1",17.6774005804412,22.4155735120846,3.26500848480111,6.86539517934824,6.63074379897244e-12,1.51278885144082e-08,72,0,0,0,84,0,0,0,59,0,0
"Pocillopora_acuta_HIv2___RNAseq.g27639.t1",191.040932077486,1.11023321936747,0.297526333620575,3.73154606470333,0.000190308201035427,0.0160322722478017,241,223,175,99,138,191,200,130,383,163,149
"Pocillopora_acuta_HIv2___RNAseq.g15237.t1",226.43920275017,-1.73893311281392,0.440894702455261,-3.94410071867527,8.00999903366885e-05,0.00932014937066102,89,528,348,281,217,349,186,378,87,158,40
"Pocillopora_acuta_HIv2___RNAseq.g8573.t1",627.085506729816,2.00113493654437,0.520165740521273,3.84711022017516,0.00011951920955064,0.0118032752154548,967,489,291,268,230,625,215,418,959,205,1182
"Pocillopora_acuta_HIv2___RNAseq.g13843.t1",1448.89784091419,-0.821260301584118,0.216816369001819,-3.78781503151741,0.000151977921931211,0.0137787332961081,1058,1476,2121,2329,1584,1738,1579,1545,1144,1744,426
"Pocillopora_acuta_HIv2___RNAseq.g9799.t1",299.944011184101,-1.90003348401524,0.413256098180077,-4.5977143286759,4.27151123262874e-06,0.00130386493521696,136,263,392,718,505,411,393,321,126,240,36
"Pocillopora_acuta_HIv2___RNAseq.g3649.t1",25.9096239585666,-1.49123939549873,0.447047268524805,-3.33575328716271,0.000850686211115091,0.0395931261505923,14,18,22,31,24,62,15,44,15,40,9
"Pocillopora_acuta_HIv2___TS.g25997.t2",648.662931633982,-5.27264734149258,1.49427920922938,-3.52855564671327,0.000417834088187143,0.0260497941876674,24,26,3570,2050,56,789,523,22,16,559,12
"Pocillopora_acuta_HIv2___TS.g2159.t1",20.7056214244659,3.16242643145574,0.968143392984585,3.2664855788631,0.00108891353918641,0.0459494144076075,11,8,16,3,9,6,31,7,12,7,59
"Pocillopora_acuta_HIv2___RNAseq.g10379.t1",46.8034814948,2.43345509854466,0.453024877836874,5.37157056399209,7.80538128705553e-08,4.70404312233213e-05,65,27,40,20,29,22,47,13,97,25,75
"Pocillopora_acuta_HIv2___RNAseq.g6352.t1",78.9491022507949,-3.21286927185041,0.863767188661526,-3.71960096890112,0.000199537769417503,0.0163611513384405,14,39,309,189,46,108,79,29,16,105,2
"Pocillopora_acuta_HIv2___RNAseq.g2083.t1",613.82186517715,2.15338479852672,0.65388568401792,3.29321294403458,0.000990494262210713,0.043526881025975,1519,586,66,107,267,503,201,537,1501,246,749
"Pocillopora_acuta_HIv2___RNAseq.g9749.t1",409.764791896687,-0.506718838624238,0.156264099610668,-3.24270795330935,0.00118399508129024,0.0474699212372091,329,482,530,455,517,373,555,494,332,522,143
"Pocillopora_acuta_HIv2___TS.g13413.t1",334.81707336577,-2.91843667981953,0.700347018480299,-4.16712944127659,3.0845936194333e-05,0.00493199241028301,86,942,150,287,223,1109,284,578,79,197,24
"Pocillopora_acuta_HIv2___RNAseq.g11373.t1",11.0445720392,5.02821229344511,1.54984905602233,3.24432387393257,0.00117729799827457,0.0474634856800094,26,25,10,2,12,0,38,0,23,0,0
"Pocillopora_acuta_HIv2___TS.g28807.t1",29.3448694959959,-6.97641135742938,1.97402721654633,-3.5341008973701,0.000409164851346631,0.0258521792098151,0,187,0,7,47,81,7,19,0,12,0
"Pocillopora_acuta_HIv2___RNAseq.g5166.t1",25.3700625118826,1.77042633315691,0.542141140939841,3.26561885727349,0.00109225156049988,0.0460076714659304,40,27,19,12,34,14,12,9,37,23,33
"Pocillopora_acuta_HIv2___RNAseq.g29965.t1",553.170067007623,-0.496923686772229,0.152898993825523,-3.25001279824825,0.00115399814934014,0.0473360776650796,436,643,702,679,755,690,624,540,472,622,202
"Pocillopora_acuta_HIv2___RNAseq.g322.t1",24.936067488174,2.06708003854031,0.617216713620283,3.34903445244679,0.000810937111951567,0.0385422435776916,47,30,11,8,9,8,14,17,40,22,39
"Pocillopora_acuta_HIv2___RNAseq.g7399.t1",348.544461688071,-5.32577354715604,1.36424583156591,-3.90382248120414,9.46852422834327e-05,0.0102556771181097,7,4,1973,1054,78,453,272,12,11,241,7
"Pocillopora_acuta_HIv2___RNAseq.g9795.t1",695.347204578854,-5.3806641273913,1.53386917103745,-3.50790290918491,0.000451653852629895,0.0275731744213326,15,29,3192,2593,43,961,425,18,18,834,21
"Pocillopora_acuta_HIv2___RNAseq.g12234.t1",377.329040872194,-0.898879294555518,0.260369482145345,-3.45232201235374,0.000555784016076324,0.0310721850690131,317,393,466,592,350,476,559,471,275,407,87
"Pocillopora_acuta_HIv2___RNAseq.g18316.t1",149.897858191668,-3.04440333235927,0.917213418831204,-3.31918751934389,0.000902797824723986,0.040964015583615,28,54,665,403,90,205,84,51,35,149,5
"Pocillopora_acuta_HIv2___RNAseq.g18760.t2",7410.15770600163,-0.709795734402163,0.21664007980592,-3.27638235287784,0.00105146108380376,0.0448521620938723,5449,9149,11481,10058,9718,7106,8502,9102,6409,7811,1782
"Pocillopora_acuta_HIv2___RNAseq.g8391.t1",778.09367165339,0.546122337728787,0.149402740560964,3.65537028088144,0.000256811039297299,0.0187370938408,889,809,737,663,840,637,989,772,1183,737,465
"Pocillopora_acuta_HIv2___RNAseq.g16145.t1",11003.3763934732,-3.13720381659196,0.957836479840821,-3.27530208195173,0.00105549043411549,0.0448882227705987,2354,1625,22019,33062,1461,42909,8809,2822,1630,7942,1550
"Pocillopora_acuta_HIv2___RNAseq.g5227.t1",3342.37971372908,2.7025805580359,0.468716301634505,5.76591970155822,8.12137229092595e-09,7.212893594444e-06,4413,3198,1434,1876,1077,1409,1291,849,13515,1322,4147
"Pocillopora_acuta_HIv2___RNAseq.g23249.t1",763.378975213436,1.03578507106457,0.261457732047506,3.96157750988359,7.4456203334576e-05,0.0089160329122356,894,728,790,503,784,628,775,530,1009,694,776
"Pocillopora_acuta_HIv2___TS.g25049.t1",355.552471276023,-2.89986379338875,0.895040579862044,-3.23992437732344,0.00119561404052313,0.0474699212372091,70,121,1400,1169,198,383,321,76,89,344,19
